"treatment","batch","roi","fold_change","X"
"control",1,758,0.789480536,NA
"control",1,693,0.721781018,NA
"control",1,1084,1.129019659,NA
"control",1,1123,1.16963937,NA
"control",1,1517,1.580002604,NA
"control",1,1520,1.583127197,NA
"control",1,489,0.509308684,NA
"control",1,497,0.517640932,NA
"cs",1,4114.9,4.28579612,NA
"cs",1,3816,3.974482489,NA
"cs",1,2520,2.624658248,NA
"cs",1,2707,2.819424554,NA
"cs",1,2480,2.582997006,NA
"cs",1,2758,2.872542638,NA
"cs",1,2386,2.485093087,NA
"cs",1,4262,4.439005338,NA
"cs",1,3800,3.957817992,NA
"control",2,1066,1.041905925,NA
"control",2,1181,1.154306659,NA
"control",2,1167,1.140623091,NA
"control",2,1243,1.214905315,NA
"control",2,1194,1.167012828,NA
"control",2,908,0.887477092,NA
"control",2,767,0.74966402,NA
"control",2,659,0.64410507,NA
"cs",2,2418,2.363347587,NA
"cs",2,2582,2.523640806,NA
"cs",2,2650,2.590103849,NA
"cs",2,2833,2.768967624,NA
"cs",2,2163,2.114111179,NA
"cs",2,2364,2.310568112,NA
"lname_cs",2,946,0.924618204,NA
"lname_cs",2,744,0.727183873,NA
"lname_cs",2,441,0.431032376,NA
"lname_cs",2,469,0.458399511,NA
"lname_cs",2,644,0.629444105,NA
"lname_cs",2,521,0.509224191,NA
"control",3,1033,1.336351876,NA
"control",3,1229,1.589909444,NA
"control",3,408,0.527813713,NA
"control",3,517,0.668822768,NA
"control",3,676,0.874514877,NA
"control",3,775,1.002587322,NA
"cs",3,2745,3.551099612,NA
"cs",3,2877,3.721862872,NA
"cs",3,2445,3.163001294,NA
"cs",3,2529,3.271668823,NA
"aa_cs",3,686,0.887451488,NA
"aa_cs",3,958,1.239327296,NA
"aa_cs",3,1235,1.59767141,NA
"aa_cs",3,1101,1.424320828,NA
"aa_cs",3,1149,1.486416559,NA
"aa_cs",3,1312,1.697283312,NA
"aa_cs",3,712,0.921086675,NA
"aa_cs",3,828,1.071151358,NA
"aa_cs",3,418,0.540750323,NA
"aa_cs",3,541,0.699870634,NA
"lname_cs",3,1217,1.574385511,NA
"lname_cs",3,1397,1.807244502,NA
"lname_cs",3,418,0.540750323,NA
"lname_cs",3,590,0.763260026,NA
